Data,Y,VIX,VIX_lag_7,VIX_lag_14,GTITL2YR,GTITL2YR_lag_7,GTITL2YR_lag_14,GTITL10YR,GTITL10YR_lag_7,GTITL10YR_lag_14,GTITL30YR,GTITL30YR_lag_7,GTITL30YR_lag_14,MXJP,MXJP_lag_7,MXJP_lag_14,MXEU,MXEU_lag_7,MXEU_lag_14,LG30TRUU,LG30TRUU_lag_7,LG30TRUU_lag_14,MXUS,MXUS_lag_7,MXUS_lag_14,LF98TRUU,LF98TRUU_lag_7,LF98TRUU_lag_14,MXIN,MXIN_lag_7,MXIN_lag_14
2001-03-13,1,27.55,21.57,24.99,4.525,4.549,4.963,5.17,5.222,5.335,5.791,5.835,5.891,744.41,818.87,835.0,115.91,128.14,133.32,333.145,324.492,302.027,1134.13,1288.41,1309.41,561.79,542.77,505.64,147.27,185.71,180.15
2001-03-20,1,30.96,22.57,24.88,4.45,4.584,4.929,5.134,5.208,5.363,5.797,5.807,5.931,762.48,813.79,855.16,114.15,129.85,134.94,328.366,328.574,305.415,1080.08,1301.87,1309.69,555.82,549.73,512.4,153.26,189.45,187.03
2001-03-27,1,27.04,21.98,27.17,4.295,4.563,4.791,5.1,5.164,5.28,5.776,5.736,5.879,840.77,786.21,815.57,115.92,128.73,131.7,326.944,331.663,308.385,1120.32,1281.55,1242.73,552.69,557.66,516.17,153.57,190.05,181.78
2001-04-03,1,34.72,21.37,28.73,4.306,4.538,4.672,5.139,5.145,5.273,5.816,5.739,5.874,820.21,792.57,810.45,111.3,126.64,126.39,324.017,333.64,309.96,1048.65,1247.08,1246.34,547.77,561.57,517.68,148.9,189.25,165.42
2001-04-10,0,29.44,24.69,29.99,4.311,4.647,4.518,5.178,5.23,5.16,5.851,5.808,5.766,794.52,783.23,809.54,118.27,122.96,127.2,323.947,332.756,311.147,1108.31,1213.2,1216.76,541.87,562.48,518.34,142.11,188.48,175.24
2001-04-17,0,25.61,26.49,27.99,4.577,4.537,4.496,5.296,5.176,5.136,5.929,5.8,5.741,808.25,790.79,803.34,118.03,120.3,125.89,322.677,331.515,316.25,1130.59,1194.62,1233.25,541.87,561.45,527.0,137.33,173.3,180.12
2001-04-24,0,28.49,25.89,25.28,4.659,4.571,4.6,5.36,5.179,5.232,5.967,5.801,5.855,830.6,773.77,801.73,119.26,121.74,126.11,318.695,334.404,320.338,1147.61,1186.59,1259.71,542.39,563.25,535.9,150.42,168.9,176.28
2001-05-01,0,24.2,27.55,21.57,4.762,4.525,4.549,5.426,5.17,5.222,6.018,5.791,5.835,880.25,744.41,818.87,122.36,115.91,128.14,321.339,333.145,324.492,1202.83,1134.13,1288.41,543.89,561.79,542.77,146.62,147.27,185.71
2001-05-08,0,24.44,30.96,22.57,4.621,4.45,4.584,5.332,5.134,5.208,5.954,5.797,5.807,876.29,762.48,813.79,121.0,114.15,129.85,325.236,328.366,328.574,1198.33,1080.08,1301.87,549.07,555.82,549.73,151.68,153.26,189.45
2001-05-15,0,23.71,27.04,21.98,4.508,4.295,4.563,5.441,5.1,5.164,6.101,5.776,5.736,857.81,840.77,786.21,121.2,115.92,128.73,323.738,326.944,331.663,1186.3,1120.32,1281.55,548.69,552.69,557.66,150.15,153.57,190.05
2001-05-22,0,21.35,34.72,21.37,4.573,4.306,4.538,5.487,5.139,5.145,6.053,5.816,5.739,859.1,820.21,792.57,124.88,111.3,126.64,327.025,324.017,333.64,1239.09,1048.65,1247.08,549.07,547.77,561.57,152.68,148.9,189.25
2001-05-29,0,22.14,29.44,24.69,4.511,4.311,4.647,5.521,5.178,5.23,6.103,5.851,5.808,845.57,794.52,783.23,122.84,118.27,122.96,326.65,323.947,332.756,1201.52,1108.31,1213.2,550.63,541.87,562.48,157.31,142.11,188.48
2001-06-05,1,19.58,25.61,26.49,4.356,4.577,4.537,5.394,5.296,5.176,6.003,5.929,5.8,816.18,808.25,790.79,123.19,118.03,120.3,330.174,322.677,331.515,1217.21,1130.59,1194.62,552.73,541.87,561.45,145.53,137.33,173.3
2001-06-12,1,20.7,28.49,25.89,4.438,4.659,4.571,5.439,5.36,5.179,6.045,5.967,5.801,795.96,830.6,773.77,118.2,119.26,121.74,331.282,318.695,334.404,1191.69,1147.61,1186.59,552.95,542.39,563.25,147.46,150.42,168.9
2001-06-19,0,22.34,24.2,27.55,4.387,4.762,4.525,5.399,5.426,5.17,6.033,6.018,5.791,785.95,880.25,744.41,116.0,122.36,115.91,324.877,321.339,333.145,1151.99,1202.83,1134.13,541.92,543.89,561.79,143.09,146.62,147.27
2001-06-26,1,21.2,24.44,30.96,4.3,4.621,4.45,5.385,5.332,5.134,6.014,5.954,5.797,806.53,876.29,762.48,114.08,121.0,114.15,325.508,325.236,328.366,1155.52,1198.33,1080.08,539.57,549.07,555.82,142.26,151.68,153.26
2001-07-03,1,18.92,23.71,27.04,4.425,4.508,4.295,5.52,5.441,5.1,6.106,6.101,5.776,805.48,857.81,840.77,117.18,121.2,115.92,322.753,323.738,326.944,1173.45,1186.3,1120.32,538.78,548.69,552.69,138.19,150.15,153.57
2001-07-10,0,23.25,21.35,34.72,4.392,4.573,4.306,5.477,5.487,5.139,6.043,6.053,5.816,782.1,859.1,820.21,112.26,124.88,111.3,320.522,327.025,324.017,1124.52,1239.09,1048.65,539.87,549.07,547.77,138.29,152.68,148.9
2001-07-17,0,22.61,22.14,29.44,4.38,4.511,4.311,5.434,5.521,5.178,5.979,6.103,5.851,767.35,845.57,794.52,111.38,122.84,118.27,316.202,326.65,323.947,1158.12,1201.52,1108.31,537.65,550.63,541.87,142.27,157.31,142.11
2001-07-24,0,25.24,19.58,25.61,4.292,4.356,4.577,5.347,5.394,5.296,5.937,6.003,5.929,739.97,816.18,808.25,109.47,123.19,118.03,317.718,330.174,322.677,1116.32,1217.21,1130.59,538.01,552.73,541.87,138.6,145.53,137.33
2001-07-31,0,21.62,20.7,28.49,4.231,4.438,4.659,5.271,5.439,5.36,5.843,6.045,5.967,748.85,795.96,830.6,113.4,118.2,119.26,317.952,331.282,318.695,1151.13,1191.69,1147.61,545.33,552.95,542.39,139.08,147.46,150.42
2001-08-07,0,21.01,22.34,24.2,4.225,4.387,4.762,5.285,5.399,5.426,5.874,6.033,6.018,767.59,785.95,880.25,112.95,116.0,122.36,320.626,324.877,321.339,1145.71,1151.99,1202.83,548.46,541.92,543.89,139.05,143.09,146.62
2001-08-14,0,20.48,21.2,24.44,4.118,4.3,4.621,5.217,5.385,5.332,5.814,6.014,5.954,750.16,806.53,876.29,110.33,114.08,121.0,322.563,325.508,325.236,1126.82,1155.52,1198.33,550.34,539.57,549.07,139.17,142.26,151.68
2001-08-21,1,24.4,18.92,23.71,4.067,4.425,4.508,5.199,5.52,5.441,5.821,6.106,6.101,726.43,805.48,857.81,107.8,117.18,121.2,321.264,322.753,323.738,1097.61,1173.45,1186.3,550.86,538.78,548.69,138.41,138.19,150.15
