VIX,VIX_lag_7,VIX_lag_2,VIX_lag_4,GTITL2YR,GTITL2YR_lag_7,GTITL2YR_lag_2,GTITL2YR_lag_4,GTITL10YR,GTITL10YR_lag_7,GTITL10YR_lag_2,GTITL10YR_lag_4,GTITL30YR,GTITL30YR_lag_7,GTITL30YR_lag_2,GTITL30YR_lag_4,MXJP,MXJP_lag_7,MXJP_lag_2,MXJP_lag_4,MXEU,MXEU_lag_7,MXEU_lag_2,MXEU_lag_4,LP01TREU,LP01TREU_lag_7,LP01TREU_lag_2,LP01TREU_lag_4,LG30TRUU,LG30TRUU_lag_7,LG30TRUU_lag_2,LG30TRUU_lag_4,MXUS,MXUS_lag_7,MXUS_lag_2,MXUS_lag_4,LF98TRUU,LF98TRUU_lag_7,LF98TRUU_lag_2,LF98TRUU_lag_4,MXIN,MXIN_lag_7,MXIN_lag_2,MXIN_lag_4,EONIA,EONIA_lag_7,EONIA_lag_2,EONIA_lag_4
26.62,21.85,24.91,24.28,5.222,5.242,5.283,5.333,5.564,5.603,5.622,5.604,6.031,6.028,6.071,6.011,834.6,922.49,890.65,873.58,135.15,136.82,138.69,138.67,105.13,112.723,107.944,109.04,307.889,318.919,307.034,311.37,1284.08,1358.24,1368.83,1326.42,522.78,545.44,524.84,536.06,171.73,176.43,172.66,158.36,4.76,4.91,4.85,4.68
27.64,24.86,26.81,23.63,5.164,5.263,5.219,5.322,5.464,5.587,5.578,5.599,5.927,6.001,6.068,6.034,837.18,910.57,853.25,860.75,133.65,133.35,136.99,139.34,103.16,112.463,107.545,109.169,304.499,319.078,307.996,309.482,1272.86,1323.43,1320.88,1361.95,516.2,545.29,525.23,528.24,176.35,169.12,171.57,163.1,4.83,4.8,4.81,4.85
24.99,27.84,26.62,24.91,4.963,5.263,5.222,5.283,5.335,5.604,5.564,5.622,5.891,6.04,6.031,6.071,835.0,882.09,834.6,890.65,133.32,131.93,135.15,138.69,99.441,107.44,105.13,107.944,302.027,312.811,307.889,307.034,1309.41,1279.95,1284.08,1368.83,505.64,536.74,522.78,524.84,180.15,157.63,171.73,172.66,4.84,4.73,4.76,4.85
24.88,24.28,27.64,26.81,4.929,5.333,5.164,5.219,5.363,5.604,5.464,5.578,5.931,6.011,5.927,6.068,855.16,873.58,837.18,853.25,134.94,138.67,133.65,136.99,102.344,109.04,103.16,107.545,305.415,311.37,304.499,307.996,1309.69,1326.42,1272.86,1320.88,512.4,536.06,516.2,525.23,187.03,158.36,176.35,171.57,4.83,4.68,4.83,4.81
27.17,23.63,24.99,26.62,4.791,5.322,4.963,5.222,5.28,5.599,5.335,5.564,5.879,6.034,5.891,6.031,815.57,860.75,835.0,834.6,131.7,139.34,133.32,135.15,103.833,109.169,99.441,105.13,308.385,309.482,302.027,307.889,1242.73,1361.95,1309.41,1284.08,516.17,528.24,505.64,522.78,181.78,163.1,180.15,171.73,4.78,4.85,4.84,4.76
28.73,24.91,24.88,27.64,4.672,5.283,4.929,5.164,5.273,5.622,5.363,5.464,5.874,6.071,5.931,5.927,810.45,890.65,855.16,837.18,126.39,138.69,134.94,133.65,104.033,107.944,102.344,103.16,309.96,307.034,305.415,304.499,1246.34,1368.83,1309.69,1272.86,517.68,524.84,512.4,516.2,165.42,172.66,187.03,176.35,4.85,4.85,4.83,4.83
29.99,26.81,27.17,24.99,4.518,5.219,4.791,4.963,5.16,5.578,5.28,5.335,5.766,6.068,5.879,5.891,809.54,853.25,815.57,835.0,127.2,136.99,131.7,133.32,104.288,107.545,103.833,99.441,311.147,307.996,308.385,302.027,1216.76,1320.88,1242.73,1309.41,518.34,525.23,516.17,505.64,175.24,171.57,181.78,180.15,5.16,4.81,4.78,4.84
27.99,26.62,28.73,24.88,4.496,5.222,4.672,4.929,5.136,5.564,5.273,5.363,5.741,6.031,5.874,5.931,803.34,834.6,810.45,855.16,125.89,135.15,126.39,134.94,106.47,105.13,104.033,102.344,316.25,307.889,309.96,305.415,1233.25,1284.08,1246.34,1309.69,527.0,522.78,517.68,512.4,180.12,171.73,165.42,187.03,4.78,4.76,4.85,4.83
25.28,27.64,29.99,27.17,4.6,5.164,4.518,4.791,5.232,5.464,5.16,5.28,5.855,5.927,5.766,5.879,801.73,837.18,809.54,815.57,126.11,133.65,127.2,131.7,109.737,103.16,104.288,103.833,320.338,304.499,311.147,308.385,1259.71,1272.86,1216.76,1242.73,535.9,516.2,518.34,516.17,176.28,176.35,175.24,181.78,4.81,4.83,5.16,4.78
21.57,24.99,27.99,28.73,4.549,4.963,4.496,4.672,5.222,5.335,5.136,5.273,5.835,5.891,5.741,5.874,818.87,835.0,803.34,810.45,128.14,133.32,125.89,126.39,111.209,99.441,106.47,104.033,324.492,302.027,316.25,309.96,1288.41,1309.41,1233.25,1246.34,542.77,505.64,527.0,517.68,185.71,180.15,180.12,165.42,4.72,4.84,4.78,4.85
